iter	Passed	Remaining
728	2385	886
729	2388	883
730	2392	880
731	2395	877
732	2399	873
733	2403	870
734	2406	867
735	2409	864
736	2413	861
737	2416	857
738	2419	854
739	2423	851
740	2426	848
741	2430	845
742	2433	841
743	2437	838
744	2440	835
745	2446	833
746	2450	830
747	2454	827
748	2458	823
749	2462	820
750	2466	817
751	2469	814
752	2472	810
753	2474	807
754	2478	804
755	2481	800
756	2484	797
757	2488	794
758	2492	791
759	2499	789
760	2506	787
761	2510	784
762	2514	781
763	2518	777
764	2521	774
765	2524	771
766	2528	767
767	2531	764
768	2534	761
769	2537	758
770	2541	754
771	2543	751
772	2547	748
773	2550	744
774	2553	741
775	2556	738
776	2559	734
777	2562	731
778	2565	727
779	2568	724
780	2571	721
781	2574	717
782	2578	714
783	2582	711
784	2585	707
785	2588	704
786	2591	701
787	2594	697
788	2596	694
789	2599	691
790	2602	687
791	2605	684
792	2608	680
793	2611	677
794	2614	674
795	2617	670
796	2620	667
797	2623	664
798	2626	660
799	2629	657
800	2632	653
801	2634	650
802	2637	647
803	2641	643
804	2645	640
805	2650	638
806	2655	635
807	2661	632
808	2667	629
809	2673	627
810	2677	623
811	2680	620
812	2684	617
813	2688	614
814	2691	610
815	2694	607
816	2698	604
817	2702	601
818	2705	597
819	2708	594
820	2712	591
821	2715	588
822	2719	584
823	2722	581
824	2726	578
825	2730	575
826	2734	571
827	2737	568
828	2740	565
829	2744	562
830	2747	558
831	2750	555
832	2753	552
833	2756	548
834	2759	545
835	2762	541
836	2765	538
837	2768	535
838	2771	531
839	2774	528
840	2776	525
841	2779	521
842	2782	518
843	2785	514
844	2789	511
845	2792	508
846	2795	505
847	2799	501
848	2802	498
849	2805	495
850	2808	491
851	2811	488
852	2814	484
853	2817	481
854	2821	478
855	2828	475
856	2832	472
857	2836	469
858	2840	466
859	2844	463
860	2847	459
861	2850	456
862	2853	452
863	2856	449
864	2859	446
865	2862	442
866	2865	439
867	2868	436
868	2871	432
869	2875	429
870	2878	426
871	2881	422
872	2884	419
873	2887	416
874	2890	412
875	2893	409
876	2896	406
877	2899	402
878	2902	399
879	2906	396
880	2909	392
881	2912	389
882	2915	386
883	2918	382
884	2920	379
885	2923	376
886	2926	372
887	2929	369
888	2932	366
889	2935	362
890	2938	359
891	2942	356
892	2945	352
893	2948	349
894	2951	346
895	2954	342
896	2958	339
897	2961	336
898	2965	333
899	2968	329
900	2971	326
901	2975	323
902	2978	319
903	2981	316
904	2984	313
905	2987	309
906	2990	306
907	2993	303
908	2996	300
909	2999	296
910	3002	293
911	3005	290
912	3008	286
913	3011	283
914	3014	280
915	3017	276
916	3021	273
917	3024	270
918	3027	266
919	3030	263
920	3032	260
921	3035	256
922	3037	253
923	3040	250
924	3043	246
925	3046	243
926	3049	240
927	3052	236
928	3055	233
929	3058	230
930	3061	226
931	3064	223
932	3067	220
933	3071	217
934	3074	213
935	3077	210
936	3081	207
937	3084	203
938	3087	200
939	3090	197
940	3093	193
941	3096	190
942	3099	187
943	3102	184
944	3105	180
945	3108	177
946	3111	174
947	3114	170
948	3117	167
949	3120	164
950	3123	160
951	3126	157
952	3130	154
953	3133	151
954	3136	147
955	3139	144
956	3142	141
957	3145	137
958	3148	134
959	3151	131
960	3154	128
961	3157	124
962	3160	121
963	3163	118
964	3166	114
965	3169	111
966	3172	108
967	3175	104
968	3177	101
969	3180	98
970	3183	95
971	3186	91
972	3189	88
973	3192	85
974	3195	81
975	3198	78
976	3201	75
977	3203	72
978	3206	68
979	3209	65
980	3212	62
981	3215	58
982	3218	55
983	3221	52
984	3224	49
985	3227	45
986	3230	42
987	3234	39
988	3237	36
989	3240	32
990	3243	29
991	3246	26
992	3249	22
993	3252	19
994	3255	16
995	3258	13
996	3261	9
997	3264	6
998	3267	3
999	3269	0
